yr,ssp3,ssp1,,,,
1650.042,276.58,276.58,,,,
1650.125,276.58,276.58,,,,
1650.209,276.59,276.59,,,,
1650.292,276.59,276.59,,,,
1650.375,276.59,276.59,,,,
1650.459,276.59,276.59,,,,
1650.542,276.6,276.6,,,,
1650.625,276.6,276.6,,,,
1650.709,276.6,276.6,,,,
1650.792,276.6,276.6,,,,
1650.875,276.6,276.6,,,,
1650.959,276.61,276.61,,,,
1651.042,276.61,276.61,,,,
1651.125,276.61,276.61,,,,
1651.209,276.61,276.61,,,,
1651.292,276.62,276.62,,,,
1651.375,276.62,276.62,,,,
1651.459,276.62,276.62,,,,
1651.542,276.62,276.62,,,,
1651.625,276.62,276.62,,,,
1651.709,276.63,276.63,,,,
1651.792,276.63,276.63,,,,
1651.875,276.63,276.63,,,,
1651.959,276.63,276.63,,,,
1652.042,276.63,276.63,,,,
1652.125,276.64,276.64,,,,
1652.209,276.64,276.64,,,,
1652.292,276.64,276.64,,,,
1652.375,276.64,276.64,,,,
1652.459,276.65,276.65,,,,
1652.542,276.65,276.65,,,,
1652.625,276.65,276.65,,,,
1652.709,276.65,276.65,,,,
1652.792,276.65,276.65,,,,
1652.875,276.66,276.66,,,,
1652.959,276.66,276.66,,,,
1653.042,276.66,276.66,,,,
1653.125,276.66,276.66,,,,
1653.209,276.67,276.67,,,,
1653.292,276.67,276.67,,,,
1653.375,276.67,276.67,,,,
1653.459,276.67,276.67,,,,
1653.542,276.67,276.67,,,,
1653.625,276.68,276.68,,,,
1653.709,276.68,276.68,,,,
1653.792,276.68,276.68,,,,
1653.875,276.68,276.68,,,,
1653.959,276.68,276.68,,,,
1654.042,276.69,276.69,,,,
1654.125,276.69,276.69,,,,
1654.209,276.69,276.69,,,,
1654.292,276.69,276.69,,,,
1654.375,276.7,276.7,,,,
1654.459,276.7,276.7,,,,
1654.542,276.7,276.7,,,,
1654.625,276.7,276.7,,,,
1654.709,276.7,276.7,,,,
1654.792,276.71,276.71,,,,
1654.875,276.71,276.71,,,,
1654.959,276.71,276.71,,,,
1655.042,276.71,276.71,,,,
1655.125,276.71,276.71,,,,
1655.209,276.72,276.72,,,,
1655.292,276.72,276.72,,,,
1655.375,276.72,276.72,,,,
1655.459,276.72,276.72,,,,
1655.542,276.73,276.73,,,,
1655.625,276.73,276.73,,,,
1655.709,276.73,276.73,,,,
1655.792,276.73,276.73,,,,
1655.875,276.73,276.73,,,,
1655.959,276.74,276.74,,,,
1656.042,276.74,276.74,,,,
1656.125,276.74,276.74,,,,
1656.209,276.74,276.74,,,,
1656.292,276.75,276.75,,,,
1656.375,276.75,276.75,,,,
1656.459,276.75,276.75,,,,
1656.542,276.75,276.75,,,,
1656.625,276.75,276.75,,,,
1656.709,276.76,276.76,,,,
1656.792,276.76,276.76,,,,
1656.875,276.76,276.76,,,,
1656.959,276.76,276.76,,,,
1657.042,276.76,276.76,,,,
1657.125,276.77,276.77,,,,
1657.209,276.77,276.77,,,,
1657.292,276.77,276.77,,,,
1657.375,276.77,276.77,,,,
1657.459,276.78,276.78,,,,
1657.542,276.78,276.78,,,,
1657.625,276.78,276.78,,,,
1657.709,276.78,276.78,,,,
1657.792,276.78,276.78,,,,
1657.875,276.79,276.79,,,,
1657.959,276.79,276.79,,,,
1658.042,276.79,276.79,,,,
1658.125,276.79,276.79,,,,
1658.209,276.8,276.8,,,,
1658.292,276.8,276.8,,,,
1658.375,276.8,276.8,,,,
1658.459,276.8,276.8,,,,
1658.542,276.81,276.81,,,,
1658.625,276.81,276.81,,,,
1658.709,276.81,276.81,,,,
1658.792,276.81,276.81,,,,
1658.875,276.81,276.81,,,,
1658.959,276.82,276.82,,,,
1659.042,276.82,276.82,,,,
1659.125,276.82,276.82,,,,
1659.209,276.82,276.82,,,,
1659.292,276.83,276.83,,,,
1659.375,276.83,276.83,,,,
1659.459,276.83,276.83,,,,
1659.542,276.83,276.83,,,,
1659.625,276.83,276.83,,,,
1659.709,276.84,276.84,,,,
1659.792,276.84,276.84,,,,
1659.875,276.84,276.84,,,,
1659.959,276.84,276.84,,,,
1660.042,276.58,276.58,,,,
1660.125,276.58,276.58,,,,
1660.209,276.59,276.59,,,,
1660.292,276.59,276.59,,,,
1660.375,276.59,276.59,,,,
1660.459,276.59,276.59,,,,
1660.542,276.6,276.6,,,,
1660.625,276.6,276.6,,,,
1660.709,276.6,276.6,,,,
1660.792,276.6,276.6,,,,
1660.875,276.6,276.6,,,,
1660.959,276.61,276.61,,,,
1661.042,276.61,276.61,,,,
1661.125,276.61,276.61,,,,
1661.209,276.61,276.61,,,,
1661.292,276.62,276.62,,,,
1661.375,276.62,276.62,,,,
1661.459,276.62,276.62,,,,
1661.542,276.62,276.62,,,,
1661.625,276.62,276.62,,,,
1661.709,276.63,276.63,,,,
1661.792,276.63,276.63,,,,
1661.875,276.63,276.63,,,,
1661.959,276.63,276.63,,,,
1662.042,276.63,276.63,,,,
1662.125,276.64,276.64,,,,
1662.209,276.64,276.64,,,,
1662.292,276.64,276.64,,,,
1662.375,276.64,276.64,,,,
1662.459,276.65,276.65,,,,
1662.542,276.65,276.65,,,,
1662.625,276.65,276.65,,,,
1662.709,276.65,276.65,,,,
1662.792,276.65,276.65,,,,
1662.875,276.66,276.66,,,,
1662.959,276.66,276.66,,,,
1663.042,276.66,276.66,,,,
1663.125,276.66,276.66,,,,
1663.209,276.67,276.67,,,,
1663.292,276.67,276.67,,,,
1663.375,276.67,276.67,,,,
1663.459,276.67,276.67,,,,
1663.542,276.67,276.67,,,,
1663.625,276.68,276.68,,,,
1663.709,276.68,276.68,,,,
1663.792,276.68,276.68,,,,
1663.875,276.68,276.68,,,,
1663.959,276.68,276.68,,,,
1664.042,276.69,276.69,,,,
1664.125,276.69,276.69,,,,
1664.209,276.69,276.69,,,,
1664.292,276.69,276.69,,,,
1664.375,276.7,276.7,,,,
1664.459,276.7,276.7,,,,
1664.542,276.7,276.7,,,,
1664.625,276.7,276.7,,,,
1664.709,276.7,276.7,,,,
1664.792,276.71,276.71,,,,
1664.875,276.71,276.71,,,,
1664.959,276.71,276.71,,,,
1665.042,276.71,276.71,,,,
1665.125,276.71,276.71,,,,
1665.209,276.72,276.72,,,,
1665.292,276.72,276.72,,,,
1665.375,276.72,276.72,,,,
1665.459,276.72,276.72,,,,
1665.542,276.73,276.73,,,,
1665.625,276.73,276.73,,,,
1665.709,276.73,276.73,,,,
1665.792,276.73,276.73,,,,
1665.875,276.73,276.73,,,,
1665.959,276.74,276.74,,,,
1666.042,276.74,276.74,,,,
1666.125,276.74,276.74,,,,
1666.209,276.74,276.74,,,,
1666.292,276.75,276.75,,,,
1666.375,276.75,276.75,,,,
1666.459,276.75,276.75,,,,
1666.542,276.75,276.75,,,,
1666.625,276.75,276.75,,,,
1666.709,276.76,276.76,,,,
1666.792,276.76,276.76,,,,
1666.875,276.76,276.76,,,,
1666.959,276.76,276.76,,,,
1667.042,276.76,276.76,,,,
1667.125,276.77,276.77,,,,
1667.209,276.77,276.77,,,,
1667.292,276.77,276.77,,,,
1667.375,276.77,276.77,,,,
1667.459,276.78,276.78,,,,
1667.542,276.78,276.78,,,,
1667.625,276.78,276.78,,,,
1667.709,276.78,276.78,,,,
1667.792,276.78,276.78,,,,
1667.875,276.79,276.79,,,,
1667.959,276.79,276.79,,,,
1668.042,276.79,276.79,,,,
1668.125,276.79,276.79,,,,
1668.209,276.8,276.8,,,,
1668.292,276.8,276.8,,,,
1668.375,276.8,276.8,,,,
1668.459,276.8,276.8,,,,
1668.542,276.81,276.81,,,,
1668.625,276.81,276.81,,,,
1668.709,276.81,276.81,,,,
1668.792,276.81,276.81,,,,
1668.875,276.81,276.81,,,,
1668.959,276.82,276.82,,,,
1669.042,276.82,276.82,,,,
1669.125,276.82,276.82,,,,
1669.209,276.82,276.82,,,,
1669.292,276.83,276.83,,,,
1669.375,276.83,276.83,,,,
1669.459,276.83,276.83,,,,
1669.542,276.83,276.83,,,,
1669.625,276.83,276.83,,,,
1669.709,276.84,276.84,,,,
1669.792,276.84,276.84,,,,
1669.875,276.84,276.84,,,,
1669.959,276.84,276.84,,,,
1670.042,276.58,276.58,,,,
1670.125,276.58,276.58,,,,
1670.209,276.59,276.59,,,,
1670.292,276.59,276.59,,,,
1670.375,276.59,276.59,,,,
1670.459,276.59,276.59,,,,
1670.542,276.6,276.6,,,,
1670.625,276.6,276.6,,,,
1670.709,276.6,276.6,,,,
1670.792,276.6,276.6,,,,
1670.875,276.6,276.6,,,,
1670.959,276.61,276.61,,,,
1671.042,276.61,276.61,,,,
1671.125,276.61,276.61,,,,
1671.209,276.61,276.61,,,,
1671.292,276.62,276.62,,,,
1671.375,276.62,276.62,,,,
1671.459,276.62,276.62,,,,
1671.542,276.62,276.62,,,,
1671.625,276.62,276.62,,,,
1671.709,276.63,276.63,,,,
1671.792,276.63,276.63,,,,
1671.875,276.63,276.63,,,,
1671.959,276.63,276.63,,,,
1672.042,276.63,276.63,,,,
1672.125,276.64,276.64,,,,
1672.209,276.64,276.64,,,,
1672.292,276.64,276.64,,,,
1672.375,276.64,276.64,,,,
1672.459,276.65,276.65,,,,
1672.542,276.65,276.65,,,,
1672.625,276.65,276.65,,,,
1672.709,276.65,276.65,,,,
1672.792,276.65,276.65,,,,
1672.875,276.66,276.66,,,,
1672.959,276.66,276.66,,,,
1673.042,276.66,276.66,,,,
1673.125,276.66,276.66,,,,
